frame;a;b;c
0;0;0;0
1;0;0;0
2;0;0;0
3;0;0;0
4;0;0;0
5;0;0;0
6;0;0;0
7;0;0;0
8;0;0;0
9;0;0;0
10;0;0;0
11;0;0;0
12;0;0;0
13;0;0;0
14;0;0;0
15;0;0;0
16;0;0;0
17;0;0;0
18;0;0;0
19;0;0;0
20;0;0;0
21;0;0;0
22;0;0;0
23;0;0;0
24;0;0;0
25;0;0;0
26;0;0;0
27;0;0;0
28;0;0;0
29;0;1;0
30;0;1;0
31;0;1;0
32;0;2;0
33;0;2;0
34;0;2;0
35;0;2;0
36;0;2;0
37;0;2;0
38;0;2;0
39;1;1;0
40;1;1;0
41;1;1;0
42;2;0;0
43;2;0;0
44;2;0;0
45;2;0;0
46;2;0;0
47;1;1;0
48;1;1;0
49;1;1;0
50;1;1;0
51;1;1;0
52;1;1;0
53;1;1;0
54;1;1;0
55;1;1;0
56;1;1;0
57;1;1;0
58;1;1;0
59;1;1;0
60;1;1;0
61;1;1;0
62;1;1;0
63;1;1;0
64;1;1;0
65;1;1;0
66;1;1;0
67;1;1;0
68;1;1;0
69;1;1;0
70;1;1;0
71;1;1;0
72;1;1;0
73;1;1;0
74;1;1;0
75;1;1;0
76;1;1;0
77;1;1;0
78;1;1;0
79;1;1;0
80;1;1;0
81;1;1;0
82;1;1;0
83;1;1;0
84;1;1;0
85;1;1;0
86;1;1;0
87;1;1;0
88;1;1;0
89;1;1;0
90;1;1;0
91;1;1;0
92;2;0;0
93;2;0;0
94;2;0;0
95;2;0;0
96;2;0;0
97;2;0;0
98;2;0;0
99;2;0;0
100;2;0;0
101;1;1;0
102;1;1;0
103;1;1;0
104;0;2;0
105;0;2;0
106;0;2;0
107;0;2;0
108;0;2;0
109;0;2;0
110;0;2;0
111;0;2;0
112;0;2;0
113;0;2;0
114;0;2;0
115;0;2;0
116;0;2;0
117;0;2;0
118;0;2;0
119;0;2;0
120;0;2;0
121;0;2;0
122;0;2;0
123;0;2;0
124;0;2;0
125;0;2;0
126;0;2;0
127;0;2;0
128;0;2;0
129;0;2;0
130;0;2;0
131;0;2;0
132;0;2;0
133;0;2;0
134;1;1;0
135;2;0;0
136;2;0;0
137;2;0;0
138;2;0;0
139;2;0;0
140;2;0;0
141;2;0;0
142;2;0;0
143;2;0;0
144;2;0;0
145;1;1;0
146;0;2;0
147;0;2;0
148;0;2;0
149;0;2;0
150;0;2;0
151;0;2;0
152;0;2;0
153;0;2;0
154;0;2;0
155;0;2;0
156;0;2;0
157;0;2;0
158;0;2;0
159;0;2;0
160;0;2;0
161;0;2;0
162;0;0;0
163;0;0;0
164;0;0;0
165;0;0;0
166;0;0;0
167;0;0;0
168;0;0;0
169;0;0;0
170;0;0;0
171;0;0;0
172;0;0;0
173;0;0;0
174;0;0;0
175;0;0;0
176;0;0;0
177;0;0;0
178;0;0;0
179;0;0;0
180;0;0;0
181;0;0;0
182;0;0;0
183;0;0;0
184;0;0;0
185;0;0;0
186;0;1;0
187;0;1;0
188;0;1;0
189;1;1;0
190;1;1;0
191;1;1;0
192;1;1;0
193;1;1;0
194;1;1;0
195;0;2;0
196;0;2;0
197;0;2;0
198;0;2;0
199;0;2;0
200;0;2;0
201;0;2;0
202;0;2;0
203;0;2;0
204;0;2;0
205;0;2;0
206;0;2;0
207;0;2;0
208;0;2;0
209;0;2;0
210;0;2;0
211;0;2;0
212;0;2;0
213;0;2;0
214;0;2;0
215;0;2;0
216;0;2;0
217;0;2;0
218;0;2;0
219;0;2;0
220;0;2;0
221;1;1;0
222;2;0;0
223;2;0;0
224;2;0;0
225;2;0;0
226;1;1;0
227;1;1;0
228;1;1;0
229;0;2;0
230;0;2;0
231;0;2;0
232;0;2;0
233;0;2;0
